movie,year,director,movie_id
Crimes and Misdemeanors,1989,Woody Allen,id_344
Make Way for Tomorrow,1937,Leo McCarey,id_345
Daisies,1966,Vera Chytilová,id_346
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,id_347
Laura,1944,Otto Preminger,id_348
"Woman Under the Influence, A",1974,John Cassavetes,id_349
Angèle,1934,Marcel Pagnol,id_350
"Canterbury Tale, A",1944,Michael Powell/Emeric Pressburger,id_351
Distant Drums,1951,Raoul Walsh,id_352
Iris and the Lieutenant,1946,Alf Sjöberg,id_353
Ivan the Terrible,1945,Sergei M Eisenstein,id_354
Nazarín,1958,Luis Buñuel,id_355
Only Angels Have Wings,1939,Howard Hawks,id_356
Party Girl,1958,Nicholas Ray,id_357
"Wedding March, The",1928,Erich von Stroheim,id_358
Conversation Piece,1974,Luchino Visconti,id_359
Fanny and Alexander,1984,Ingmar Bergman,id_360
Gone with the Wind,1939,Victor Fleming,id_361
"History of Violence, A",2005,David Cronenberg,id_362
Touki Bouki,1973,Djibril Diop Mambéty,id_363
Gold Diggers of 1933,1933,Mervyn LeRoy,id_364
"Long Day Closes, The",1992,Terence Davies,id_365
"Matter of Life and Death, A",1946,Michael Powell/Emeric Pressburger,id_366
"Grapes of Wrath, The",1940,John Ford,id_367
Three Monkeys,2008,Nuri Bilge Ceylan,id_368
Tilai,1990,Idrissa Ouedraogo,id_369
2046,2004,Wong Kar Wai,id_370
"Arrive d'un train en gare, L'",1906,Auguste Lumière/Louis Lumière,id_371
"Conversation, The",1974,Francis Ford Coppola,id_372
Intimate Lighting,1965,Ivan Passer,id_373
"Last Laugh, The",1924,F. W. Murnau,id_374
"Rink, The",1916,Charles Chaplin,id_375
Dracula,1958,Terence Fisher,id_376
Fantasia,1940,Joe Grant/Dick Huerner,id_377
Henry V,1944,Laurence Olivier,id_378
Jason and the Argonauts,1963,Don Chaffey,id_379
King Kong,1933,Merian C. Cooper/Ernest B. Schoedsack,id_380
My Neighbour Totoro,1988,Miyazaki Hayao,id_381
"Wicker Man, The",1973,Robin Hardy,id_382
"grande bouffe, La",1973,Marco Ferreri,id_383
Magnolia,1999,Paul Thomas Anderson,id_384
Star Wars,1977,George Lucas,id_385
Easy Rider,1969,Peter Fonda/Dennis Hopper,id_386
Journey to Italy,1954,Roberto Rossellini,id_387
"Last Bolshevik, The",1993,Chris Marker,id_388
"World of Apu, The",1958,Satyajit Ray,id_389
Code Unknown,2000,Michael Haneke,id_390
Fear Eats the Soul,1974,Rainer Werner Fassbinder,id_391
Hunger,2008,Steve McQueen,id_392
"Innocents, The",1961,Jack Clayton,id_393
Performance,1970,Donald Cammell/Nicolas Roeg,id_394
This Our Still Life,2011,Andrew Kötting,id_395
Under the Skin,1997,Carine Adler,id_396
White Material,2009,Claire Denis,id_397
"Circus, The",1928,Charles Chaplin,id_398
"Lady Vanishes, The",1938,Alfred Hitchcock,id_399
Ingeborg Holm,1913,Victor Sjöström,id_400
Random Harvest,1942,Mervyn LeRoy,id_401
Burnt By The Sun,1994,Nikita Mikhalkov,id_402
"Cremator, The",1968,Juraj Herz,id_403
Darkness Light Darkness,1989,Jan Svankmajer,id_404
Father and Daughter,2000,Michael Dudock,id_405
"Hand, The",1965,Jiri Trnka,id_406
Night On Earth,1991,Jim Jarmusch,id_407
One Flew Over the Cuckoo's Nest,1975,Milos Forman,id_408
"Turin Horse, The",,Béla Tarr,id_409
Brief Encounter,1945,David Lean,id_410
Exotica,1994,Atom Egoyan,id_411
"Four Horsemen of the Apocalypse, The",1920,Rex Ingram,id_412
Pepe Le Moko,1937,Julien Duviver,id_413
"Red Shoes, The",1948,Michael Powell/Emeric Pressburger,id_414
Black Girl,1965,Ousmane Sembene,id_415
"Grin Without a Cat, A",1977,Chris Marker,id_416
"I Was Born, But…",1932,Ozu Yasujirô ,id_417
In a Lonely Place,1950,Nicholas Ray,id_418
"Corner in the Wheat, A",1909,D.W. Griffith,id_419
Earth,1930,Aleksandr Dovzhenko,id_420
"Easy Life, The",1962,Dino Risi,id_421
"Fine Day, A",2001,Thomas Arslan,id_422
Forest of Bliss,1986,Robert Gardner,id_423
Mass for the Dakota Sioux,1964,Bruce Baillie,id_424
"Seasons of the Year, The",1975,Artavazd Pelechian,id_425
Wagon Master,1950,John Ford,id_426
"Accidental Tourist, The",1988,Lawrence Kasdan,id_427
E.T.,1982,Steven Spielberg,id_428
"Incredible Shrinking Man, The",1957,Jack Arnold,id_429
Pocket Money,1976,François Truffaut,id_430
Superman: The Movie,1978,Richard Donner,id_431
"Tenant, The",1976,Roman Polanski,id_432
What Have I Done To Deserve This?,1984,Pedro Almodóvar,id_433
"Age d'Or, L'",1930,Luis Buñuel,id_434
"Good, the Bad and the Ugly, The",1966,Sergio Leone,id_435
Ikiru,1952,Akira Kurosawa,id_436
M,1931,Fritz Lang,id_437
"Mad Masters, The",1955,Jean Rouch,id_438
Two or Three Things I Know About Her…,1967,Jean-Luc Godard,id_439
All That Heaven Allows,1955,Douglas Sirk,id_440
Bless Their Little Hearts,1983,Billy Woodberry,id_441
"Fall of the Romanov Dynasty, The",1927,Esfir Shub,id_442
Freaks,1932,Tod Browning,id_443
Hellzapoppin',1941,H.C. Potter,id_444
"Région Centrale, La",1971,Michael Snow,id_445
Tih Minh,1918,Louis Feuillade,id_446
"Walden: Diaries, Notes and Sketches",1969,Jonas Mekas,id_447
"Cabinet of Dr Caligari, The",1919,Robert Wiene,id_448
Marketa Lazarová,1967,Frantisek Vlácil,id_449
Naked,1993,Mike Leigh,id_450
Requiem for a Dream,2000,Darren Aronofsky,id_451
"Dead, The",1987,John Huston,id_452
Madame de…,1953,Max Ophüls,id_453
"Music Room, The",1958,Satyajit Ray,id_454
"olvidados, Los",1950,Luis Buñuel,id_455
"Quiet Man, The",1952,John Ford,id_456
Ugetsu Monogatari,1953,Mizoguchi Kenji,id_457
Marnie,1964,Alfred Hitchcock,id_458
Winter Light,1962,Ingmar Bergman,id_459
"American in Paris, An",1951,Vincente Minnelli,id_460
Letter From an Unknown Woman,1948,Max Ophüls,id_461
Love Me Tonight,1932,Rouben Mamoulian,id_462
North by Northwest,1959,Alfred Hitchcock,id_463
Out of Africa,1985,Sydney Pollack,id_464
To Be or Not To Be,1942,Ernst Lubitsch,id_465
Vera Cruz,1954,Robert Aldrich,id_466
Intentions of Murder,1964,Imamura Shohei,id_467
Late Chrysanthemums,1954,Naruse Mikio,id_468
"Only Son, The",1936,Ozu Yasujirô ,id_469
Shoah,1985,Claude Lanzmann,id_470
Trouble in Paradise,1932,Ernst Lubitsch,id_471
Au Hasard Balthazar,1966,Robert Bresson,id_472
"Birds, The",1963,Alfred Hitchcock,id_473
"Cloud-Capped Star, The",1960,Ritwik Ghatak,id_474
"Dr Mabuse, The Gambler",1922,Fritz Lang,id_475
Miss Oyu,1951,Mizoguchi Kenji,id_476
Imitation of Life,1959,Douglas Sirk,id_477
Lazybones,1925,Frank Borzage,id_478
"Life of Oharu, The",1952,Mizoguchi Kenji,id_479
Moderato catabile,1960,Peter Brook,id_480
"notte, La",1961,Michelangelo Antonioni,id_481
Wake in Fright,1971,Ted Kotcheff,id_482
Born on the Fourth of July,1989,Oliver Stone,id_483
Gabbla,2008,Tarek Teguia,id_484
Rain Man,1988,Barry Levinson,id_485
Ran,1985,Akira Kurosawa,id_486
"Samouraï, Le",1967,Jean-Pierre Melville,id_487
Russian Ark,2002,Aleksandr Sokurov,id_488
Army of Shadows,1969,Jean-Pierre Melville,id_489
Casablanca,1942,Michael Curtiz,id_490
Double Indemnity,1944,Billy Wilder,id_491
"Magnificent Ambersons, The",1942,Orson Welles,id_492
"Shop Around the Corner, The",1940,Ernst Lubitsch,id_493
"Disenchantment, The",1976,Jaime Chávarri,id_494
Faces,1968,John Cassavetes,id_495
Lola Montès,1955,Max Ophüls,id_496
Tarnation,2004,Jonathan Caouette,id_497
"Bad Sleep Well, The",1960,Akira Kurosawa,id_498
Dust in the Wind,1986,Hsiao-hsien Hou,id_499
My Dinner with Andre,1981,Louis Malle,id_500
"Touch of Zen, A",1969,King Hu,id_501
Unknown Pleasures,2002,Jia Zhang Ke ,id_502
Black Rain,1988,Imamura Shohei,id_503
"City of Sadness, A",1989,Hsiao-hsien Hou,id_504
Evolution of a Filipino Family,2004,Lav Díaz,id_505
Good Men Good Women,1995,Hsiao-hsien Hou,id_506
My Mother's Smile,2002,Marco Bellocchio,id_507
"Petal, A",1996,Jang Sun-woo ,id_508
Viva l'Amour,1994,Tsai Ming Liang,id_509
"47 Ronin, The",1941,Mizoguchi Kenji,id_510
Greed,1925,Erich von Stroheim,id_511
Om Dar-ba-Dar,1988,Kamal Swaroop,id_512
Perfumed Nightmare,1976,Kidlat Tahimik,id_513
Platform,2000,Jia Zhang Ke ,id_514
Sweet Movie,1973,Dusan Makavejev,id_515
Edvard Munch,1976,Peter Watkins,id_516
"Paris, Texas",1984,Wim Wenders,id_517
Death in Venice,1971,Luchino Visconti,id_518
"Deer Hunter, The",1977,Michael Cimino,id_519
It Happened One Night,1934,Frank Capra,id_520
After Life,1998,Koreeda Hirokazu,id_521
Chinatown,1974,Roman Polanski,id_522
"Ghost and Mrs Muir, The",1947,Joseph L. Mankiewicz,id_523
Orphée,1950,Jean Cocteau,id_524
"Synecdoche, New York",2008,Charlie Kaufman,id_525
Boogie Nights,1997,Paul Thomas Anderson,id_526
Hamlet,,Grigori Kozintsev,id_527
Pandora's Box,1928,G W Pabst,id_528
Tiger Bay,1959,J Lee Thompson,id_529
West Side Story,1961,Robert Wise/Jerome Robbins,id_530
Withnail & I,1986,Bruce Robinson,id_531
Black Orpheus,1959,Marcel Camus,id_532
Croupier,1997,Mike Hodges,id_533
"French Connection, The",1971,William Friedkin,id_534
"Lives of Others, The",2006,Florian Henckel von Donnersmarck,id_535
Night Falls on Manhattan,1996,Sidney Lumet,id_536
