voter,voter_profession,voter_country,movie_id
Shinozaki Makoto,Director,Japan,id_1813
Shinozaki Makoto,Director,Japan,id_1814
Shinozaki Makoto,Director,Japan,id_125
Shinozaki Makoto,Director,Japan,id_1815
Shinozaki Makoto,Director,Japan,id_1816
Shinozaki Makoto,Director,Japan,id_1817
Shinozaki Makoto,Director,Japan,id_1818
Shinozaki Makoto,Director,Japan,id_1819
Shinozaki Makoto,Director,Japan,id_1820
Shinozaki Makoto,Director,Japan,id_1821
Derek Malcolm,critic,UK,id_31
Derek Malcolm,critic,UK,id_40
Derek Malcolm,critic,UK,id_454
Derek Malcolm,critic,UK,id_1572
Derek Malcolm,critic,UK,id_135
Derek Malcolm,critic,UK,id_217
Derek Malcolm,critic,UK,id_295
Derek Malcolm,critic,UK,id_1244
Derek Malcolm,critic,UK,id_457
Derek Malcolm,critic,UK,id_1129
Roberto Manassero,critic,Italy,id_158
Roberto Manassero,critic,Italy,id_60
Roberto Manassero,critic,Italy,id_31
Roberto Manassero,critic,Italy,id_51
Roberto Manassero,critic,Italy,id_387
Roberto Manassero,critic,Italy,id_463
Roberto Manassero,critic,Italy,id_58
Roberto Manassero,critic,Italy,id_198
Roberto Manassero,critic,Italy,id_556
Roberto Manassero,critic,Italy,id_457
Milcho Manchevski,Director,Macedonia,id_602
Milcho Manchevski,Director,Macedonia,id_192
Milcho Manchevski,Director,Macedonia,id_63
Milcho Manchevski,Director,Macedonia,id_1030
Milcho Manchevski,Director,Macedonia,id_728
Milcho Manchevski,Director,Macedonia,id_1822
Milcho Manchevski,Director,Macedonia,id_742
Milcho Manchevski,Director,Macedonia,id_1823
Milcho Manchevski,Director,Macedonia,id_209
Milcho Manchevski,Director,Macedonia,id_432
Michael Mann,Director,US,id_31
Michael Mann,Director,US,id_1208
Michael Mann,Director,US,id_305
Michael Mann,Director,US,id_1824
Michael Mann,Director,US,id_63
Michael Mann,Director,US,id_220
Michael Mann,Director,US,id_117
Michael Mann,Director,US,id_168
Michael Mann,Director,US,id_58
Michael Mann,Director,US,id_249
Måns Månsson,Director,Sweden,id_1825
Måns Månsson,Director,Sweden,id_1677
Måns Månsson,Director,Sweden,id_619
Måns Månsson,Director,Sweden,id_387
Måns Månsson,Director,Sweden,id_1826
Måns Månsson,Director,Sweden,id_1827
Måns Månsson,Director,Sweden,id_1308
Måns Månsson,Director,Sweden,id_1828
Måns Månsson,Director,Sweden,id_1829
Måns Månsson,Director,Sweden,id_1830
Pia Marais,Director,Germany,id_147
Pia Marais,Director,Germany,id_1831
Pia Marais,Director,Germany,id_220
Pia Marais,Director,Germany,id_565
Pia Marais,Director,Germany,id_125
Pia Marais,Director,Germany,id_458
Pia Marais,Director,Germany,id_77
Pia Marais,Director,Germany,id_487
Pia Marais,Director,Germany,id_7
Pia Marais,Director,Germany,id_1338
Dario Marchiori,critic,Italy/France,id_1832
Dario Marchiori,critic,Italy/France,id_264
Dario Marchiori,critic,Italy/France,id_1833
Dario Marchiori,critic,Italy/France,id_265
Dario Marchiori,critic,Italy/France,id_27
Dario Marchiori,critic,Italy/France,id_1656
Dario Marchiori,critic,Italy/France,id_1834
Dario Marchiori,critic,Italy/France,id_233
Dario Marchiori,critic,Italy/France,id_88
Dario Marchiori,critic,Italy/France,id_217
Yevgeny Margolit,critic,Russia,id_159
Yevgeny Margolit,critic,Russia,id_40
Yevgeny Margolit,critic,Russia,id_305
Yevgeny Margolit,critic,Russia,id_116
Yevgeny Margolit,critic,Russia,id_226
Yevgeny Margolit,critic,Russia,id_437
Yevgeny Margolit,critic,Russia,id_408
Yevgeny Margolit,critic,Russia,id_6
Yevgeny Margolit,critic,Russia,id_210
Yevgeny Margolit,critic,Russia,id_1835
Miguel Marías,critic,Spain,id_564
Miguel Marías,critic,Spain,id_857
Miguel Marías,critic,Spain,id_858
Miguel Marías,critic,Spain,id_77
Miguel Marías,critic,Spain,id_927
Miguel Marías,critic,Spain,id_1836
Miguel Marías,critic,Spain,id_144
Miguel Marías,critic,Spain,id_566
Miguel Marías,critic,Spain,id_146
Miguel Marías,critic,Spain,id_861
